,State,Year,Total,Male,Female,Causes_Bankruptcy or Sudden change in Economic Status,Causes_Cancellation/Non-Settlement of Marriage,Causes_Cancer,Causes_Causes Not known,Causes_Death of Dear Person,Causes_Divorce,Causes_Dowry Dispute,Causes_Drug Abuse/Addiction,Causes_Failure in Examination,Causes_Fall in Social Reputation,Causes_Family Problems,Causes_Ideological Causes/Hero Worshipping,Causes_Illegitimate Pregnancy,Causes_Illness (Aids/STD),Causes_Insanity/Mental Illness,Causes_Love Affairs,Causes_Not having Children (Barrenness/Impotency,Causes_Not having Children(Barrenness/Impotency,Causes_Other Causes (Please Specity),Causes_Other Prolonged Illness,Causes_Paralysis,Causes_Physical Abuse (Rape/Incest Etc.),Causes_Poverty,Causes_Professional/Career Problem,Causes_Property Dispute,Causes_Suspected/Illicit Relation,Causes_Unemployment,Education_Status_Diploma,Education_Status_Graduate,Education_Status_Hr. Secondary/Intermediate/Pre-Universit,Education_Status_Matriculate/Secondary,Education_Status_Middle,Education_Status_No Education,Education_Status_Post Graduate and Above,Education_Status_Primary,Means_adopted_By Consuming Insecticides,Means_adopted_By Consuming Other Poison,Means_adopted_By Drowning,Means_adopted_By Fire-Arms,Means_adopted_By Fire/Self Immolation,Means_adopted_By Hanging,Means_adopted_By Jumping from (Building),Means_adopted_By Jumping from (Other sites),Means_adopted_By Jumping off Moving Vehicles/Trains,Means_adopted_By Machine,Means_adopted_By Other means,Means_adopted_By Other means (please specify),Means_adopted_By Over Alcoholism,Means_adopted_By Overdose of sleeping pills,Means_adopted_By Self Infliction of injury,Means_adopted_By coming under running vehicles/trains,Means_adopted_By touching electric wires,Professional_Profile_Farming/Agriculture Activity,Professional_Profile_House Wife,Professional_Profile_Others (Please Specify),Professional_Profile_Professional Activity,Professional_Profile_Public Sector Undertaking,Professional_Profile_Retired Person,Professional_Profile_Self-employed (Business activity),Professional_Profile_Service (Government),Professional_Profile_Service (Private),Professional_Profile_Student,Professional_Profile_Unemployed,Social_Status_Divorcee,Social_Status_Married,Social_Status_Never Married,Social_Status_Seperated,Social_Status_Widowed/Widower,Total_Causes,Total_Education_Status,Total_Means_adopted,Total_Professional_Profile,Total_Social_Status
144,Haryana,2001,2007.0,1364.0,643.0,9.0,12.0,1.0,191.0,54.0,5.0,70.0,19.0,45.0,115.0,273.0,0.0,4.0,10.0,48.0,41.0,0.0,18.0,758.0,115.0,3.0,5.0,7.0,28.0,67.0,33.0,76.0,63,16,182,521,434,483,5,303,303.0,536.0,126.0,15.0,268.0,311.0,2.0,3.0,7.0,6.0,0.0,145.0,28.0,0.0,3.0,214.0,40.0,145.0,297.0,669.0,65.0,94.0,22.0,57.0,94.0,145.0,128.0,287.0,34,1495,304,60,114,2007.0,2007.0,2007.0,2003.0,2007.0
145,Haryana,2002,2200.0,1570.0,630.0,4.0,9.0,9.0,166.0,32.0,62.0,25.0,26.0,33.0,19.0,284.0,0.0,0.0,13.0,60.0,41.0,7.0,0.0,1064.0,150.0,3.0,2.0,67.0,8.0,39.0,31.0,46.0,47,28,110,598,502,547,8,360,199.0,588.0,134.0,14.0,191.0,288.0,3.0,8.0,4.0,12.0,355.0,0.0,28.0,7.0,16.0,303.0,50.0,190.0,371.0,769.0,33.0,79.0,17.0,39.0,97.0,243.0,157.0,205.0,25,1763,290,50,72,2200.0,2200.0,2200.0,2200.0,2200.0
146,Haryana,2003,2227.0,1613.0,614.0,14.0,71.0,14.0,235.0,30.0,1.0,15.0,78.0,35.0,22.0,286.0,34.0,0.0,74.0,236.0,31.0,0.0,11.0,715.0,112.0,2.0,14.0,26.0,13.0,92.0,17.0,49.0,72,39,184,593,503,481,7,348,407.0,371.0,153.0,32.0,188.0,347.0,3.0,18.0,7.0,13.0,0.0,504.0,31.0,7.0,47.0,53.0,46.0,207.0,321.0,788.0,33.0,71.0,30.0,136.0,78.0,226.0,125.0,212.0,36,1695,356,55,85,2227.0,2227.0,2227.0,2227.0,2227.0
147,Haryana,2004,2082.0,1454.0,628.0,14.0,7.0,27.0,156.0,27.0,1.0,23.0,66.0,25.0,15.0,398.0,0.0,0.0,11.0,40.0,37.0,0.0,9.0,886.0,90.0,5.0,1.0,51.0,18.0,104.0,21.0,50.0,46,40,146,597,422,500,10,321,296.0,265.0,143.0,20.0,128.0,347.0,3.0,13.0,11.0,5.0,0.0,431.0,23.0,23.0,24.0,42.0,308.0,160.0,330.0,781.0,33.0,60.0,9.0,89.0,83.0,209.0,117.0,211.0,24,1637,299,50,72,2082.0,2082.0,2082.0,2082.0,2082.0
148,Haryana,2005,2046.0,1493.0,553.0,32.0,16.0,5.0,156.0,28.0,7.0,28.0,50.0,14.0,15.0,368.0,0.0,0.0,55.0,78.0,23.0,0.0,82.0,702.0,149.0,57.0,2.0,10.0,5.0,78.0,23.0,63.0,41,34,178,632,427,385,1,348,115.0,374.0,136.0,5.0,206.0,309.0,8.0,4.0,9.0,4.0,0.0,463.0,32.0,1.0,31.0,13.0,336.0,140.0,303.0,1019.0,19.0,20.0,16.0,71.0,43.0,155.0,101.0,159.0,9,1640,297,26,74,2046.0,2046.0,2046.0,2046.0,2046.0
149,Haryana,2006,2316.0,1766.0,550.0,6.0,7.0,1.0,455.0,11.0,0.0,7.0,41.0,47.0,5.0,438.0,2.0,0.0,15.0,86.0,54.0,0.0,3.0,594.0,235.0,0.0,1.0,50.0,39.0,124.0,12.0,83.0,35,30,219,539,623,423,31,416,274.0,398.0,139.0,8.0,133.0,355.0,16.0,31.0,0.0,4.0,0.0,452.0,42.0,2.0,17.0,385.0,60.0,190.0,319.0,708.0,26.0,99.0,55.0,101.0,59.0,375.0,126.0,258.0,9,1749,420,29,109,2316.0,2316.0,2316.0,2316.0,2316.0
150,Haryana,2007,2433.0,1852.0,581.0,16.0,14.0,1.0,247.0,2.0,1.0,59.0,43.0,31.0,5.0,455.0,1.0,0.0,2.0,108.0,35.0,0.0,12.0,821.0,247.0,0.0,1.0,57.0,31.0,118.0,24.0,102.0,52,48,242,757,487,455,12,380,363.0,291.0,93.0,6.0,146.0,433.0,11.0,9.0,0.0,0.0,0.0,531.0,43.0,13.0,45.0,389.0,60.0,179.0,356.0,862.0,57.0,87.0,75.0,88.0,79.0,246.0,122.0,282.0,13,1798,490,26,106,2433.0,2433.0,2433.0,2433.0,2433.0
151,Haryana,2008,2656.0,1974.0,682.0,6.0,1.0,0.0,514.0,5.0,0.0,25.0,39.0,73.0,4.0,401.0,134.0,0.0,1.0,102.0,56.0,0.0,6.0,883.0,252.0,0.0,16.0,12.0,13.0,95.0,2.0,16.0,60,49,266,724,514,512,22,509,213.0,566.0,125.0,11.0,137.0,572.0,5.0,45.0,3.0,0.0,0.0,895.0,13.0,6.0,0.0,25.0,40.0,150.0,366.0,1280.0,50.0,96.0,12.0,41.0,93.0,250.0,135.0,183.0,27,1971,481,29,148,2656.0,2656.0,2656.0,2656.0,2656.0
152,Haryana,2009,2503.0,1815.0,688.0,13.0,6.0,4.0,501.0,9.0,5.0,16.0,46.0,44.0,21.0,688.0,0.0,0.0,0.0,138.0,46.0,0.0,6.0,680.0,146.0,43.0,2.0,5.0,1.0,54.0,2.0,27.0,47,62,204,499,468,594,29,600,206.0,566.0,102.0,6.0,234.0,500.0,28.0,3.0,0.0,5.0,0.0,762.0,15.0,5.0,1.0,43.0,27.0,230.0,441.0,945.0,28.0,71.0,0.0,49.0,86.0,285.0,115.0,253.0,13,1899,438,28,125,2503.0,2503.0,2503.0,2503.0,2503.0
153,Haryana,2010,2895.0,2178.0,717.0,6.0,1.0,0.0,564.0,5.0,0.0,6.0,51.0,38.0,2.0,616.0,0.0,1.0,1.0,167.0,28.0,0.0,7.0,1077.0,122.0,1.0,7.0,15.0,14.0,89.0,1.0,76.0,56,82,321,552,550,440,376,518,292.0,558.0,142.0,7.0,262.0,463.0,24.0,7.0,0.0,2.0,0.0,932.0,75.0,1.0,2.0,64.0,64.0,297.0,364.0,1284.0,45.0,16.0,0.0,46.0,85.0,221.0,148.0,384.0,11,1922,470,373,119,2895.0,2895.0,2895.0,2890.0,2895.0
154,Haryana,2011,3245.0,2464.0,781.0,19.0,6.0,4.0,195.0,5.0,3.0,0.0,85.0,39.0,3.0,502.0,0.0,0.0,40.0,130.0,17.0,0.0,12.0,1792.0,126.0,2.0,2.0,11.0,116.0,94.0,1.0,41.0,55,77,357,854,540,730,5,627,287.0,602.0,221.0,13.0,238.0,539.0,12.0,14.0,0.0,9.0,0.0,1189.0,35.0,11.0,2.0,19.0,54.0,384.0,416.0,1484.0,24.0,25.0,2.0,62.0,79.0,213.0,180.0,376.0,13,2185,853,9,185,3245.0,3245.0,3245.0,3245.0,3245.0
155,Haryana,2012,2827.0,2071.0,756.0,12.0,12.0,4.0,719.0,5.0,2.0,1.0,72.0,52.0,2.0,336.0,90.0,0.0,1.0,134.0,20.0,0.0,13.0,920.0,181.0,0.0,4.0,8.0,42.0,87.0,5.0,105.0,112,87,338,774,551,471,36,458,277.0,538.0,134.0,10.0,169.0,653.0,41.0,16.0,1.0,1.0,0.0,840.0,61.0,6.0,1.0,3.0,76.0,276.0,389.0,1249.0,41.0,57.0,3.0,45.0,51.0,247.0,142.0,327.0,11,1899,705,65,147,2827.0,2827.0,2827.0,2827.0,2827.0
